Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
Val,Rolfe,3120,16,,1,1,,Single Projection,1,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/u4z4b2vpb2jxyd2jddt92pgc4r7hn699
Val,Rolfe,3121,36,,1,1,,Single Projection,1,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/dtx439gihlab0y0wkw30tkqvhlar6iao
Val,Rolfe,3126,52,,,,1,Single Projection,1,1,,,,1,,1,1,Blu-Ray & DVD,Voice & Media,,,1,1,1,https://ucla.box.com/s/ji0tzby8xyvh6m3tlx4pqyqo64wkk83s
Val,Rolfe,3129,36,,1,1,,Single Projection,1,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/5z7be9tff32ygo1yq61o9ydwmxii7s6p
Val,Rolfe,3134,48,,,,1,Single Projection,1,1,1,,,1,,1,1,Blu-Ray & DVD,Voice & Media,,,,1,,https://ucla.box.com/s/12wdnvrebs30rmo144f0yo0vkg7hodpx
Val,Rolfe,3135,45,,,,1,Single Projection,1,1,1,,,1,,1,1,Blu-Ray & DVD,Voice & Media,,,,1,1,https://ucla.box.com/s/v273b7crga3ihhkbph4h223ojfxchib3
Val,Royce,148,24,,1,1,,Single Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,,,1,1,https://ucla.box.com/s/qr42girrr9gozdbqbwqys50tnelv447u
Val,Royce,150,37,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/j1y5k2ygdbhh9i8ejzfbvr1caoxs0vpi
Val,Royce,152,30,,1,1,,Single Projection,,1,1,,,1,,1,1,Input Only,Media & XLR Input,,,,1,1,https://ucla.box.com/s/1mzxrnbe8ltgtme8wvaoriz3d54cc3qf
Val,Royce,154,50,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/cm9tsqkbuirw6wyfoqx46roveooa3eek
Val,Royce,156,52,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,,,1,1,https://ucla.box.com/s/hpix14d7ync347em3y0d4a0ffjwyw7a0
Val,Royce,160,43,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,,1,,https://ucla.box.com/s/ag81yimr8huqndb7om8blno3sx7m3sd4
Val,Royce,162,45,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & VHS,Voice & Media,,,,1,1,https://ucla.box.com/s/ub8jpm1rcfqsym1ebkvuyy56z2oem8pn
Val,Royce,164,50,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/855oyu1u5cy81ve15hhwrq5bzw45r5sb
Val,Royce,166,20,,1,1,,Single Projection,,1,1,,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/8m56amsrhkufx0hatyc88tkm32ajvg6q
Val,Royce,190,122,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/r1k0y1vpiyrgnb26kjc9nurho15ra4zd
Val,Royce,362,133,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,,https://ucla.box.com/s/au11zvqwldxxeb2j2xi6zrsc7krbjqt3
Val,Slichter,2834,20,,1,1,,Single Projection,1,1,,1,1,1,,1,1,Inpuit Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/zthd8uuapy2yga8nrpsn59evwt7bhxny
Val,WG Young,1044,47,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,,1,1,1,https://ucla.box.com/s/zd58dxu0i9gjy0lnvowqjwrfvdnjj71l
Val,WG Young,2200,98,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,,1,1,1,https://ucla.box.com/s/5vltpk5p8g7oj6nz9ez3x11ybrejifsa
Val,WG Young,4216,62,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,,1,1,1,https://ucla.box.com/s/jsgd4dyvwmlj3vpnmya2lk67fngt6m16
Val,WG Young,CS 24,254,Fixed Seating,,,,Multiple Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,1,1,1,1,https://ucla.box.com/s/x1vfrx59kn62idi32ahnvh0bzqgad4xf
Val,WG Young,CS 50,351,Fixed Seating,,,,Multiple Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,1,1,1,1,https://ucla.box.com/s/iqf1oveec3l4x3du0rwoug43nsdpzxad
Val,WG Young,CS 76,256,Fixed Seating,,,,Multiple Projection,1,1,,1,1,1,,1,1,Blu-Ray & DVD,Voice & Media,,1,1,1,1,https://ucla.box.com/s/g8tmy492ta1k10l8hlfghprhs3mkg3ce
