Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
Michala,Bunche,3170,40,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/ybyc102084n3jrgqohil7yzbfdin4q1j
Michala,Bunche,3178,44,Fixed Seating,,,,Single Projection,1,1,,,1,,,1,1,DVD & Blu-ray,Voice & Media,,,,1,1,https://ucla.box.com/s/qyyzmidbs69pzufdgo096g7j2yei6bfe
Michala,Bunche,3211,45,Fixed Seating,,,,Single Projection,1,1,,,1,,,1,1,DVD & Blu-ray,Voice & Media,,,,1,1,https://ucla.box.com/s/evrz7m695pfpbkcj5qning7v4jhj7i78
Michala,Bunche,2209A,221,Fixed Seating,,,,Multiple Projection,1,1,,1,1,,,1,1,DVD & Blu-ray,Voice & Media,,1,1,1,1,https://ucla.box.com/s/zvdvfvklt7b59uy9275vp1tnke8r197q
Michala,Bunche,A152,25,,1,1,,Flat Screen,,,,,1,1,,,,Input Only,Media Only,,,,1,,https://ucla.box.com/s/pc8uw0f3nhcqk8h2pi6u4z4kv1wz3xb3
Michala,Dodd,78,50,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,,,1,1,https://ucla.box.com/s/qyzc4m6i7yxnlwyx8fp7ji28rv9t454r
Michala,Dodd,121,158,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,1,1,1,1,https://ucla.box.com/s/w1w5tjolkhplrwng3y8tuqyhk5hdgzsi
Michala,Dodd,146,89,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,,1,1,1,https://ucla.box.com/s/ldonq44la6wgvc67btbwh2lak0xkax9z
Michala,Dodd,147,366,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,1,1,1,1,https://ucla.box.com/s/knopqdn50w1ncnobs6tbepgjxyjd5y7z
Michala,Dodd,154,34,,,,1,Single Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Media & XLR input,,,,1,,https://ucla.box.com/s/dizk1ur9fqpskg6u001ogqbk4m4ik3xp
Michala,Dodd,161,106,Fixed Seating,,,,Multiple Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,,1,1,1,https://ucla.box.com/s/powf1y3g1oeaj0efuiuvmkmbsf45eix7
Michala,Dodd,162,32,,,,1,Single Projection,1,1,,1,1,1,,,1,DVD & Blu-ray,Media & XLR input,,,1,1,,https://ucla.box.com/s/u2av2mx2x5v26e8psle9tadkt4vb91vy
Michala,Dodd,167,58,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,,1,1,1,https://ucla.box.com/s/iobeyr2uhxvb5xvbvn1kjbbiwvfvp55t
Michala,Dodd,170,62,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,,1,1,1,https://ucla.box.com/s/dqk61c2zqlznj7i24ian1lgpbgzga0eq
Michala,Dodd,175,98,Fixed Seating,,,,Multiple Projection,1,1,,1,1,1,,1,1,DVD & Blu-ray,Voice & Media,,,1,1,1,https://ucla.box.com/s/gy7vgl1w39c8ify9u3ntwt95z4omqjfc
Michala,Dodd,178,32,,,,1,Single Projection,1,1,,1,1,1,,,1,DVD & Blu-ray,Media & XLR input,,,,1,,https://ucla.box.com/s/blihjyaz5xdrhsu0t399uovuhqdfgy2f
Michala,Fowler,A103B,320,Fixed Seating,,,,Single Projection,,1,1,,1,,,1,1,DVD & Blu-ray,Voice & Media,,,1,1,1,https://ucla.box.com/s/2d22pl2fefiy6zir2r2url4o87wob7ef
